iteration,algorithm,config,nash_conv,wall_time_sec,iterations_per_sec
650000,True LCFR,"DCFR(1, 1, 1)",0.004251,29222.6,22
650000,SOTA DCFR,"DCFR(1.5, 0, 2)",0.008248,29222.6,22
650000,CFR+ Approx,"DCFR(∞, ∞, 2)",0.016100,29222.6,22
650000,"DCFR(0,0,1)","DCFR(0, 0, 1)",0.272069,29222.6,22
700000,SIMPLE,External Sampling,0.003517946628705332,0.026519298553466797,0.0
700000,FULL,External Sampling + Reach-Prob Weighting,0.004388533907122655,0.026519298553466797,0.0
700000,True LCFR,"DCFR(1, 1, 1)",0.0034477591442326205,0.026519298553466797,0.0
700000,SOTA DCFR,"DCFR(1.5, 0, 2)",0.0074486880466062555,0.026519298553466797,0.0
700000,CFR+ Approx,"DCFR(∞, ∞, 2)",0.0079874327922696,0.026519298553466797,0.0
700000,"DCFR(0,0,1)","DCFR(0, 0, 1)",0.27236955199826857,0.026519298553466797,0.0
750000,SIMPLE,External Sampling,0.003246612577825575,2155.956119298935,23.191566633674714
750000,FULL,External Sampling + Reach-Prob Weighting,0.003678655050490226,2155.956119298935,23.191566633674714
750000,True LCFR,"DCFR(1, 1, 1)",0.0033681744745910347,2155.956119298935,23.191566633674714
750000,SOTA DCFR,"DCFR(1.5, 0, 2)",0.007235019870071857,2155.956119298935,23.191566633674714
750000,CFR+ Approx,"DCFR(∞, ∞, 2)",0.006623322266738646,2155.956119298935,23.191566633674714
750000,"DCFR(0,0,1)","DCFR(0, 0, 1)",0.2713523236936593,2155.956119298935,23.191566633674714
800000,SIMPLE,External Sampling,0.003452954853054385,4352.943746089935,22.972959411622483
800000,FULL,External Sampling + Reach-Prob Weighting,0.0032033310318678176,4352.943746089935,22.972959411622483
800000,True LCFR,"DCFR(1, 1, 1)",0.002233115665089852,4352.943746089935,22.972959411622483
800000,SOTA DCFR,"DCFR(1.5, 0, 2)",0.007145748161916654,4352.943746089935,22.972959411622483
800000,CFR+ Approx,"DCFR(∞, ∞, 2)",0.010585313614992597,4352.943746089935,22.972959411622483
800000,"DCFR(0,0,1)","DCFR(0, 0, 1)",0.27146468356302755,4352.943746089935,22.972959411622483
850000,SIMPLE,External Sampling,0.002967935038808961,6560.134392499924,22.865385223127767
850000,FULL,External Sampling + Reach-Prob Weighting,0.0035394966570053144,6560.134392499924,22.865385223127767
850000,True LCFR,"DCFR(1, 1, 1)",0.0028207011723098696,6560.134392499924,22.865385223127767
850000,SOTA DCFR,"DCFR(1.5, 0, 2)",0.006516367588025984,6560.134392499924,22.865385223127767
850000,CFR+ Approx,"DCFR(∞, ∞, 2)",0.019446341514822413,6560.134392499924,22.865385223127767
850000,"DCFR(0,0,1)","DCFR(0, 0, 1)",0.27179319382847733,6560.134392499924,22.865385223127767
900000,SIMPLE,External Sampling,0.002992832028001574,8801.431624889374,22.72357595035158
900000,FULL,External Sampling + Reach-Prob Weighting,0.002562121944988144,8801.431624889374,22.72357595035158
900000,True LCFR,"DCFR(1, 1, 1)",0.0031720333643163456,8801.431624889374,22.72357595035158
900000,SOTA DCFR,"DCFR(1.5, 0, 2)",0.007013317962446808,8801.431624889374,22.72357595035158
900000,CFR+ Approx,"DCFR(∞, ∞, 2)",0.014660962743320238,8801.431624889374,22.72357595035158
900000,"DCFR(0,0,1)","DCFR(0, 0, 1)",0.27173791663132446,8801.431624889374,22.72357595035158
950000,SIMPLE,External Sampling,0.002972156162938916,11050.68809223175,22.623025635457154
950000,FULL,External Sampling + Reach-Prob Weighting,0.0029545162511485923,11050.68809223175,22.623025635457154
950000,True LCFR,"DCFR(1, 1, 1)",0.0028309407704877054,11050.68809223175,22.623025635457154
950000,SOTA DCFR,"DCFR(1.5, 0, 2)",0.00746105227483837,11050.68809223175,22.623025635457154
950000,CFR+ Approx,"DCFR(∞, ∞, 2)",0.006737254735890458,11050.68809223175,22.623025635457154
950000,"DCFR(0,0,1)","DCFR(0, 0, 1)",0.2718290945638542,11050.68809223175,22.623025635457154
1000000,SIMPLE,External Sampling,0.0027499692134129172,13202.041890621185,22.7237576191242
1000000,FULL,External Sampling + Reach-Prob Weighting,0.002669626923048729,13202.041890621185,22.7237576191242
1000000,True LCFR,"DCFR(1, 1, 1)",0.0032534716765546534,13202.041890621185,22.7237576191242
1000000,SOTA DCFR,"DCFR(1.5, 0, 2)",0.007378100027299328,13202.041890621185,22.7237576191242
1000000,CFR+ Approx,"DCFR(∞, ∞, 2)",0.004714793248734583,13202.041890621185,22.7237576191242
1000000,"DCFR(0,0,1)","DCFR(0, 0, 1)",0.27150572559967834,13202.041890621185,22.7237576191242
