iteration,algorithm,nash_conv,wall_time_sec,iterations_per_sec
50000,SIMPLE,0.015860098979621484,1540.8703436851501,32.44919353851658
50000,FULL,0.011693443587009772,1540.8703436851501,32.44919353851658
50000,LCFR-ES γ=1.0,0.02023302792740958,1540.8703436851501,32.44919353851658
50000,LCFR-ES γ=1.5,0.034811536778521335,1540.8703436851501,32.44919353851658
50000,LCFR-ES γ=2.0,0.031636693799271004,1540.8703436851501,32.44919353851658
100000,SIMPLE,0.009851731952620874,3184.0734345912933,31.406310832412057
100000,FULL,0.00860655418300682,3184.0734345912933,31.406310832412057
100000,LCFR-ES γ=1.0,0.02926730519846854,3184.0734345912933,31.406310832412057
100000,LCFR-ES γ=1.5,0.015164414344207261,3184.0734345912933,31.406310832412057
100000,LCFR-ES γ=2.0,0.07851287348345687,3184.0734345912933,31.406310832412057
150000,SIMPLE,0.006627404322010311,4840.116617202759,30.990988825944708
150000,FULL,0.008749771295417652,4840.116617202759,30.990988825944708
150000,LCFR-ES γ=1.0,0.005976254118821633,4840.116617202759,30.990988825944708
150000,LCFR-ES γ=1.5,0.013568262769101558,4840.116617202759,30.990988825944708
150000,LCFR-ES γ=2.0,0.03917149213048457,4840.116617202759,30.990988825944708
200000,SIMPLE,0.004945312388016709,6481.919568777084,30.85505734495455
200000,FULL,0.0071721255963569375,6481.919568777084,30.85505734495455
200000,LCFR-ES γ=1.0,0.004961145569572306,6481.919568777084,30.85505734495455
200000,LCFR-ES γ=1.5,0.02673053245988366,6481.919568777084,30.85505734495455
200000,LCFR-ES γ=2.0,0.01296909720194972,6481.919568777084,30.85505734495455
250000,SIMPLE,0.01878476799240769,8149.116348266602,30.678172861426564
250000,FULL,0.006110681783453614,8149.116348266602,30.678172861426564
250000,LCFR-ES γ=1.0,0.010462652996321042,8149.116348266602,30.678172861426564
250000,LCFR-ES γ=1.5,0.022042303078361303,8149.116348266602,30.678172861426564
250000,LCFR-ES γ=2.0,0.045325616105073185,8149.116348266602,30.678172861426564
300000,SIMPLE,0.020148325405316525,9818.788525819778,30.55366751316734
300000,FULL,0.00545807729128267,9818.788525819778,30.55366751316734
300000,LCFR-ES γ=1.0,0.007159389560198015,9818.788525819778,30.55366751316734
300000,LCFR-ES γ=1.5,0.005209959966117672,9818.788525819778,30.55366751316734
300000,LCFR-ES γ=2.0,0.012590328678911189,9818.788525819778,30.55366751316734
350000,SIMPLE,0.011764629610712007,11499.40929722786,30.436345985560653
350000,FULL,0.0048280647277192945,11499.40929722786,30.436345985560653
350000,LCFR-ES γ=1.0,0.008848895444790145,11499.40929722786,30.436345985560653
350000,LCFR-ES γ=1.5,0.00598933566632015,11499.40929722786,30.436345985560653
350000,LCFR-ES γ=2.0,0.00792670889724828,11499.40929722786,30.436345985560653
400000,SIMPLE,0.015048216292618433,13189.062643051147,30.328159841650756
400000,FULL,0.004490175315446043,13189.062643051147,30.328159841650756
400000,LCFR-ES γ=1.0,0.010185033652341469,13189.062643051147,30.328159841650756
400000,LCFR-ES γ=1.5,0.003647671367371763,13189.062643051147,30.328159841650756
400000,LCFR-ES γ=2.0,0.012848553825396847,13189.062643051147,30.328159841650756
450000,SIMPLE,0.06763192009884456,14892.937741041183,30.215663814931112
450000,FULL,0.0034165388366327876,14892.937741041183,30.215663814931112
450000,LCFR-ES γ=1.0,0.010628699503605427,14892.937741041183,30.215663814931112
450000,LCFR-ES γ=1.5,0.00729197873409948,14892.937741041183,30.215663814931112
450000,LCFR-ES γ=2.0,0.061773452826826114,14892.937741041183,30.215663814931112
