iteration,exploitability,time_elapsed,memory_mb,iters_per_sec,convergence_rate
10000,63.30780704582926,10.971693754196167,107.078125,911.4363036404895,
20000,65.24581938892882,23.80202341079712,107.078125,840.2646974512076,-3.061253316982873
30000,65.4427311864016,42.75310754776001,107.078125,701.7033783213685,-0.30179986904447126
40000,67.59435518579329,61.929882526397705,107.078125,645.8917467338961,-3.287796765790814
50000,66.11035632459497,81.46455073356628,107.078125,613.7638954583742,2.195447914429128
60000,67.79480632962834,100.97191071510315,108.58984375,594.2246667916659,-2.54793666027588
70000,64.59321331609651,119.28048396110535,108.58984375,586.852079027659,4.722475344151316
80000,67.97786476765192,138.20481252670288,108.58984375,578.8510438776725,-5.239949025282451
90000,69.43238998960264,157.11028790473938,108.58984375,572.8460000949757,-2.1397041918310897
100000,71.29331342876993,175.7943229675293,108.58984375,568.8465833932012,-2.680194991769639
100000,69.80504519187264,181.27547574043274,108.58984375,551.6466007966206,2.087528500669626
