iteration,exploitability,time_elapsed,memory_mb,iters_per_sec,convergence_rate
10000,56.185745368657486,108.99097108840942,107.10546875,91.75071934984754,
20000,59.99930515657386,231.8438320159912,107.10546875,86.26496476568123,-6.787415140431192
30000,60.183141234523156,355.5932285785675,107.10546875,84.3660609621861,-0.3063970115479785
40000,62.243965579245376,478.96686363220215,107.10546875,83.51308417593567,-3.4242552024520445
50000,63.290415228118626,602.6504499912262,107.10546875,82.96683425811419,-1.6812065862689467
60000,64.3624017021025,726.2015223503113,108.5625,82.62169405237998,-1.6937580044626022
70000,65.64553234799926,850.2658066749573,108.5625,82.32719633139365,-1.9936028053080657
80000,66.19439617399355,977.6461191177368,108.5625,81.8292001938236,-0.8361023307491192
90000,66.48985664099268,1101.4859192371368,108.5625,81.70780799661232,-0.4463526885606846
100000,65.03223620025032,1222.5922408103943,108.5625,81.7934194754214,2.192244824067947
100000,65.38458417214157,1332.3350276947021,108.5625,75.05619676833604,-0.5418050992530563
