iteration,algorithm,nash_conv,wall_time_sec,iterations_per_sec
50000,SIMPLE,0.013486759233966222,470.5452890396118,106.25969734401242
50000,FULL,0.010746044671510496,470.5452890396118,106.25969734401242
100000,SIMPLE,0.008182783156576362,945.2484905719757,105.79228742220936
100000,FULL,0.005396541936332405,945.2484905719757,105.79228742220936
150000,SIMPLE,0.01392709092799671,1415.937133550644,105.93690669292342
150000,FULL,0.007646257661482414,1415.937133550644,105.93690669292342
200000,SIMPLE,0.014908336335670236,1879.089189529419,106.4345434556441
200000,FULL,0.0058459439519981116,1879.089189529419,106.4345434556441
250000,SIMPLE,0.005514415150162821,2348.214917421341,106.46384968652443
250000,FULL,0.006366640088842607,2348.214917421341,106.46384968652443
300000,SIMPLE,0.005941044709321719,2821.2732882499695,106.33496628966753
300000,FULL,0.0071507790863529486,2821.2732882499695,106.33496628966753
350000,SIMPLE,0.007271203998832965,3293.5194659233093,106.26929751632136
350000,FULL,0.006429869128880217,3293.5194659233093,106.26929751632136
400000,SIMPLE,0.006961396076858251,3765.6858098506927,106.22235103991848
400000,FULL,0.00567491431433631,3765.6858098506927,106.22235103991848
450000,SIMPLE,0.005912957887557441,4229.361208677292,106.39904652190606
450000,FULL,0.006148735016051565,4229.361208677292,106.39904652190606
500000,SIMPLE,0.0051617013651994725,4708.135646104813,106.19914921390712
500000,FULL,0.005921552875881059,4708.135646104813,106.19914921390712
