iteration,algorithm,nash_conv,wall_time_sec,iterations_per_sec
500000,SIMPLE,0.005162313774151911,0.00579071044921875,0.0
500000,FULL,0.005921469682367342,0.00579071044921875,0.0
550000,SIMPLE,0.005746077449935494,391.23610258102417,127.8000666864457
550000,FULL,0.005895592004454386,391.23610258102417,127.8000666864457
600000,SIMPLE,0.005539304739629103,869.0119941234589,115.0732103540946
600000,FULL,0.005352348213315872,869.0119941234589,115.0732103540946
650000,SIMPLE,0.0038090988274066817,1361.6247398853302,110.16251071688981
650000,FULL,0.005384723690748328,1361.6247398853302,110.16251071688981
700000,SIMPLE,0.0032991630475197598,1841.419772386551,108.6118455982431
700000,FULL,0.004936176029792905,1841.419772386551,108.6118455982431
750000,SIMPLE,0.003888844560044985,2339.1181116104126,106.87788648170593
750000,FULL,0.005084847306411205,2339.1181116104126,106.87788648170593
800000,SIMPLE,0.003948664316113071,2814.9713854789734,106.57301937332282
800000,FULL,0.0033623594725553374,2814.9713854789734,106.57301937332282
850000,SIMPLE,0.003538521334085387,3307.554693698883,105.81835597965284
850000,FULL,0.004110219045377422,3307.554693698883,105.81835597965284
900000,SIMPLE,0.003220183333783627,3785.0843064785004,105.6779631870723
900000,FULL,0.003342580736711731,3785.0843064785004,105.6779631870723
950000,SIMPLE,0.003197316348182433,4272.609107971191,105.32206167900024
950000,FULL,0.004415500716204668,4272.609107971191,105.32206167900024
1000000,SIMPLE,0.019023200977430765,4754.818553924561,105.15648375000704
1000000,FULL,0.002648162411377719,4754.818553924561,105.15648375000704
